# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in All F02 field AND MagI between 17.5 and 24.75 AND Spectroscopic Redshift between 0.5 and 0.9 AND  Spectroscopic Redshift quality flag  in (2,3,4,9,22,23,24,29)
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	MAG_U_CFHTLS 	MAGERR_AUTO_U 	MAG_G_CFHTLS 	MAGERR_AUTO_G 	MAG_R_CFHTLS 	MAGERR_AUTO_R 	MAG_I_CFHTLS 	MAGERR_AUTO_I 	MAG_Z_CFHTLS 	MAGERR_AUTO_Z 	MAG_AUTO_J_WIRDS 	MAGERR_AUTO_J_WIRDS 	MAG_AUTO_H_WIRDS 	MAGERR_AUTO_H_WIRDS 	MAG_AUTO_K_WIRDS 	MAGERR_AUTO_K_WIRDS 	AGE 	E(B-V) 	STELLAR_MASS 	SFR 	 	ZMETHOD 	EW_OII_3727 	D_EW_OII_3727 	EW_OIII_5007 	D_EW_OIII_5007 	EW_HALPHA 	D_EW_HALPHA 	EW_HBETA 	D_EW_HBETA 	 
020086495	VVDS-J022803.55-044913.2	37.014799	-4.8203501	0.8795	3	23.1321	-99.9	-99.9	25.1019	0.1528	24.3042	0.0935	24.1302	0.0957	23.1321	0.0528	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	160896000	0.500	9.80625	1.33804	-99.9	E	-28.33	3.84	0.00	-9.99	0.00	-9.99	-9.98	9.64
020086507	VVDS-J022656.22-044913.7	36.7342616	-4.8204973	0.8010	2	23.2501	-99.9	-99.9	24.3039	0.0913	24.2551	0.094	23.7877	0.0784	23.2501	0.0701	24.356015	0.019300	24.216840	0.012400	23.952893	0.012900	23.360149	0.010300	23.150907	0.020600	23.171911	0.120300	22.896522	0.102700	22.961297	0.127600	160896000	0.200	8.97779	0.508942	4	V	-57.03	7.81	-20.18	20.54	0.00	-9.99	-6.80	22.62
020086536	VVDS-J022648.76-044914.5	36.7031918	-4.8206962	0.8856	3	22.2341	-99.9	-99.9	23.7754	0.0686	23.2441	0.0521	23.0822	0.0502	22.2341	0.032	23.853609	0.014400	23.446543	0.010000	23.021258	0.010000	22.241964	0.010000	21.986755	0.010000	21.504025	0.031300	21.348127	0.030300	21.181928	0.030200	227272000	0.300	9.90114	1.11072	3	-	-30.79	1.63	0.00	-9.99	0.00	-9.99	-10.63	4.80
020086611	VVDS-J022553.59-044914.8	36.4732963	-4.8208041	0.8885	4	22.1627	-99.9	-99.9	23.34	0.0491	22.9611	0.0343	22.6578	0.0313	22.1627	0.034	23.454782	0.010000	23.068676	0.010000	22.780094	0.010000	22.179096	0.010000	22.008426	0.010000	21.506793	0.043200	21.491728	0.028600	21.297032	0.022500	127804000	0.300	9.69099	1.39988	4	K	-73.60	1.70	0.00	-9.99	0.00	-9.99	-35.01	9.60
020086626	VVDS-J022621.28-044915.3	36.5887047	-4.8209368	0.7892	2	21.9799	-99.9	-99.9	23.3934	0.0607	22.8997	0.0456	22.5236	0.0389	21.9799	0.0302	23.350223	0.011200	22.823400	0.010000	22.372130	0.010000	21.821794	0.010000	21.683430	0.010000	21.353667	0.031100	21.267142	0.029400	21.051305	0.030000	50000000	0.500	9.74683	2.01902	4	V	-20.35	6.76	-7.46	13.16	0.00	-9.99	-1.62	6.49
020086693	VVDS-J022805.25-044913.2	37.0219147	-4.8203599	0.8870	2	22.5644	-99.9	-99.9	24.5436	0.1154	23.8798	0.0775	23.502	0.0675	22.5644	0.0389	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	227272000	0.400	9.99327	1.20241	-99.9	E	-23.54	3.36	0.00	-9.99	0.00	-9.99	-5.70	5.67
020086740	VVDS-J022804.06-044913.1	37.0169169	-4.8203133	0.7763	4	22.3708	-99.9	-99.9	24.1645	0.0991	23.5202	0.0672	23.1467	0.0592	22.3708	0.0389	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	127804000	0.500	9.75586	1.73523	-99.9	E	-33.15	3.79	-32.51	23.38	0.00	-9.99	-13.59	15.68
020086792	VVDS-J022515.78-044910.2	36.3157674	-4.8195195	0.8387	3	23.9147	-99.9	-99.9	25.2964	0.1255	24.9385	0.1343	24.7509	0.143	23.9147	0.1216	25.190725	0.034600	24.945857	0.019900	24.737343	0.021700	24.122089	0.016800	23.761590	0.029800	24.043801	0.127800	23.723089	0.114800	23.682709	0.118200	180529000	0.200	8.77603	0.208424	4	K	-77.06	5.90	-90.09	20.43	0.00	-9.99	-13.59	15.05
020086894	VVDS-J022635.51-044909.5	36.647974	-4.819329	0.8200	2	23.71	-99.9	-99.9	24.9751	0.1312	24.5875	0.1137	24.5158	0.1225	23.71	0.0844	24.928039	0.027800	24.650805	0.014500	24.386013	0.015100	23.736977	0.011600	23.502909	0.023600	23.256198	0.092800	23.421185	0.114900	22.690081	0.071600	127804000	0.300	8.98382	0.692711	4	K	-3.54	-2.00	-3.42	-2.00	0.00	-9.99	-3.89	3.97
020086957	VVDS-J022612.25-044912.1	36.5510477	-4.8200304	0.6876	3	21.9706	-99.9	-99.9	24.4601	0.1113	23.835	0.0787	23.2106	0.0574	21.9706	0.0271	24.449899	0.033800	23.971859	0.015200	23.175134	0.010000	22.217677	0.010000	21.491535	0.010000	20.841141	0.024300	20.675394	0.018900	20.232910	0.012800	5500000000	0.200	10.5640	0.363448	1	V	-2.55	2.90	-5.02	7.59	0.00	-9.99	0.00	-9.99
